repeat,ensemble,n,estimator,mom_num_groups,n_sample,estimate,error,abs_error
0,seeqst_binomial_q0.5,10,mean,1,40000,-5.4272,-0.4550640450004231,0.4550640450004231
0,seeqst_binomial_q0.5,10,mean,1,50000,-5.2224,-0.25026404500042343,0.25026404500042343
0,seeqst_binomial_q0.5,10,mean,1,60000,-4.846933333333333,0.12520262166624363,0.12520262166624363
0,seeqst_binomial_q0.5,10,mean,1,70000,-4.490971428571428,0.4811645264281488,0.4811645264281488
0,seeqst_binomial_q0.5,10,mean,1,80000,-4.864,0.10813595499957707,0.10813595499957707
0,seeqst_binomial_q0.5,10,mean,1,90000,-4.949333333333334,0.02280262166624336,0.02280262166624336
0,seeqst_binomial_q0.5,10,mean,1,100000,-4.97664,-0.004504045000422785,0.004504045000422785
0,seeqst_binomial_tuned,10,mean,1,10,0.0,4.972135954999577,4.972135954999577
0,seeqst_binomial_tuned,10,mean,1,30,0.0,4.972135954999577,4.972135954999577
0,seeqst_binomial_tuned,10,mean,1,100,-11.920928955078123,-6.948793000078546,6.948793000078546
0,seeqst_binomial_tuned,10,mean,1,300,-9.437402089436848,-4.465266134437271,4.465266134437271
0,seeqst_binomial_tuned,10,mean,1,1000,-5.513429641723632,-0.541293686724055,0.541293686724055
0,seeqst_binomial_tuned,10,mean,1,3000,-4.3710072835286455,0.6011286714709314,0.6011286714709314
0,seeqst_binomial_tuned,10,mean,1,10000,-4.902482032775878,0.06965392222369893,0.06965392222369893
0,seeqst_binomial_tuned,10,mean,1,20000,-4.820525646209716,0.15161030878986104,0.15161030878986104
0,seeqst_binomial_tuned,10,mean,1,30000,-5.051493644714355,-0.07935768971477764,0.07935768971477764
0,seeqst_binomial_tuned,10,mean,1,40000,-5.092471837997436,-0.12033588299785869,0.12033588299785869
0,seeqst_binomial_tuned,10,mean,1,50000,-5.036592483520507,-0.06445652852092998,0.06445652852092998
0,seeqst_binomial_tuned,10,mean,1,60000,-5.019207795461018,-0.04707184046144075,0.04707184046144075
0,seeqst_binomial_tuned,10,mean,1,70000,-4.947185516357421,0.02495043864215596,0.02495043864215596
0,seeqst_binomial_tuned,10,mean,1,80000,-4.999339580535888,-0.027203625536310838,0.027203625536310838
0,seeqst_binomial_tuned,10,mean,1,90000,-5.06970617506239,-0.09757022006281346,0.09757022006281346
0,seeqst_binomial_tuned,10,mean,1,100000,-5.0008296966552725,-0.028693741655695604,0.028693741655695604
1,pauli,10,mean,1,10,-8.099999999999998,-3.127864045000421,3.127864045000421
1,pauli,10,mean,1,30,-1.2750000000000012,3.6971359549995757,3.6971359549995757
1,pauli,10,mean,1,100,15.029999999999987,20.002135954999563,20.002135954999563
1,pauli,10,mean,1,300,2.1674999999999955,7.139635954999573,7.139635954999573
1,pauli,10,mean,1,1000,-3.1455000000000006,1.8266359549995763,1.8266359549995763
1,pauli,10,mean,1,3000,-2.8327499999999994,2.1393859549995775,2.1393859549995775
1,pauli,10,mean,1,10000,-3.487275,1.484860954999577,1.484860954999577
1,pauli,10,mean,1,20000,-3.854025,1.118110954999577,1.118110954999577
1,pauli,10,mean,1,30000,-4.007775,0.9643609549995773,0.9643609549995773
1,pauli,10,mean,1,40000,-4.32410625,0.6480297049995771,0.6480297049995771
1,pauli,10,mean,1,50000,-4.95459,0.01754595499957734,0.01754595499957734
1,pauli,10,mean,1,60000,-4.987725,-0.01558904500042324,0.01558904500042324
1,pauli,10,mean,1,70000,-5.0940642857142855,-0.12192833071470854,0.12192833071470854
1,pauli,10,mean,1,80000,-4.945978125,0.026157829999577054,0.026157829999577054
1,pauli,10,mean,1,90000,-4.75595,0.2161859549995766,0.2161859549995766
1,pauli,10,mean,1,100000,-4.68657,0.28556595499957727,0.28556595499957727
1,clifford,10,mean,1,10,-4.041681670375633e-15,4.9721359549995725,4.9721359549995725
