state_repeat,obs_repeat,state_type,ensemble,n,num_observables,n_sample,rmse,mean_variance,max_error
0,0,haar_random,seeqst,3,64,30000,0.020439630012999175,14.352860488613707,0.04361781143988647
0,0,haar_random,seeqst,3,64,35000,0.02171674802613312,14.325555205810005,0.0612329043414969
0,0,haar_random,seeqst,3,64,40000,0.01999951168869095,14.323853526883452,0.05666147577006833
0,0,haar_random,seeqst,3,64,45000,0.02027587786096547,14.308149999597578,0.06768369799229056
0,0,haar_random,seeqst,3,64,50000,0.018689744345866455,14.32155536148277,0.05858147577006833
0,0,haar_random,seeqst,3,64,55000,0.01658491536287586,14.322715088516539,0.04938874849734105
0,0,haar_random,seeqst,3,64,60000,0.017197034000166953,14.322624364065552,0.047328142436735
0,0,haar_random,seeqst,3,64,65000,0.016519140207909403,14.322968187437045,0.04459993730852987
0,0,haar_random,seeqst,3,64,70000,0.014862048225217672,14.338138158898667,0.039518618627211184
0,0,haar_random,seeqst,3,64,75000,0.016157810927725384,14.34549454066332,0.042794809103401665
0,0,haar_random,seeqst,3,64,80000,0.016048839339577566,14.341521044586877,0.04406147577006833
0,0,haar_random,seeqst,3,64,85000,0.014216063467553592,14.352442442229592,0.039720299299480094
0,0,haar_random,seeqst,3,64,90000,0.013608158579423959,14.34629639676669,0.03781703132562388
0,0,haar_random,seeqst,3,64,95000,0.013081765710886276,14.349024717544236,0.036619370506910436
0,0,haar_random,seeqst,3,64,100000,0.012891502621504404,14.347507051866595,0.035701475770068325
0,0,ghz,pauli,3,64,1000,0.14359208717753214,14.56125506756751,0.3509999999999999
0,0,ghz,pauli,3,64,5000,0.054017572372330826,14.619940464968044,0.14579999999999999
0,0,ghz,pauli,3,64,10000,0.035128129309002484,14.510646766707552,0.10529999999999998
0,0,ghz,pauli,3,64,15000,0.032223196225700516,14.495381149369042,0.09179999999999998
0,0,ghz,pauli,3,64,20000,0.024505124623484364,14.419249367585738,0.07559999999999999
0,0,ghz,pauli,3,64,25000,0.025333761564363073,14.362050807558418,0.06695999999999999
0,0,ghz,pauli,3,64,30000,0.024945706669685666,14.395537250461329,0.06839999999999999
0,0,ghz,pauli,3,64,35000,0.02339365538441776,14.376351882658374,0.05862857142857142
0,0,ghz,pauli,3,64,40000,0.023795119354147496,14.383403924266064,0.06614999999999999
0,0,ghz,pauli,3,64,45000,0.021861856368773643,14.365669421336568,0.05819999999999999
0,0,ghz,pauli,3,64,50000,0.01831046695199224,14.38784435868741,0.05291999999999999
0,0,ghz,pauli,3,64,55000,0.017899852831935764,14.401265300092485,0.05154545454545454
0,0,ghz,pauli,3,64,60000,0.017384547736423863,14.386682868048373,0.05129999999999999
0,0,ghz,pauli,3,64,65000,0.018966095957207118,14.398580073050468,0.061892307692307684
0,0,ghz,pauli,3,64,70000,0.019332170320769074,14.389520894278913,0.060171428571428556
0,0,ghz,pauli,3,64,75000,0.018576442743431804,14.393116198992544,0.05867999999999999
0,0,ghz,pauli,3,64,80000,0.017873603939145506,14.398331607176196,0.056699999999999987
0,0,ghz,pauli,3,64,85000,0.016456105568059782,14.393300919241565,0.051776470588235285
0,0,ghz,pauli,3,64,90000,0.0149556102442454,14.374739174047033,0.04979999999999999
0,0,ghz,pauli,3,64,95000,0.014865614662955566,14.374118806855957,0.04774736842105262
0,0,ghz,pauli,3,64,100000,0.013784535719421242,14.370211188687625,0.044009999999999994
0,0,ghz,clifford,3,64,1000,0.08859907942524,8.950303631756755,0.25199999999999984
0,0,ghz,clifford,3,64,5000,0.030752510060156044,8.931875033131593,0.06839999999999996
0,0,ghz,clifford,3,64,10000,0.030983392729008866,8.947450399415033,0.10079999999999997
0,0,ghz,clifford,3,64,15000,0.024259006059605986,8.938729290911137,0.06479999999999998
0,0,ghz,clifford,3,64,20000,0.019630158557688727,8.942430528401196,0.0657
