state_type,ensemble,term_group,n_sample,rmse_mean,rmse_std,mean_variance_mean,mean_variance_std,max_error_mean,max_error_std,num_terms,num_repeats
neel,clifford,z_single,30,1.6238147937719285,0.4300208963765706,80.53400383141732,29.051618472681074,2.7916666666666607,1.0833333333333315,6,4
neel,clifford,z_single,100,0.8449717360126101,0.1910564733492868,60.583228114477826,17.811681364530997,1.4624999999999975,0.5963430220938253,6,4
neel,clifford,z_single,300,0.5072769642304155,0.17628255967904538,59.49894323671467,10.976195592710656,0.866666666666665,0.25422358196994327,6,4
neel,clifford,z_single,1000,0.2766703733010699,0.08407473821240223,63.43033241574901,8.15884617844472,0.4587499999999979,0.1113833470497272,6,4
neel,clifford,z_single,3000,0.13573981908440347,0.05032980900254095,63.50646870716215,1.6641135566051197,0.2129166666666675,0.06679674809117349,6,4
neel,clifford,zz_long_range,10,3.366599874382607,1.2667571647357216,100.93055555555516,49.7552057991443,8.74999999999998,3.752776749732558,10,4
neel,clifford,zz_long_range,30,1.7859798433661416,0.47120554480302634,92.87715517241342,29.442222977401123,3.8749999999999907,1.0833333333333295,10,4
neel,clifford,zz_long_range,100,0.6968199454709443,0.12385186632353769,75.99665404040371,3.8397036782269396,1.6124999999999956,0.5105144464165502,10,4
neel,clifford,zz_long_range,300,0.4696201275516806,0.15320038786580883,64.79157608695613,7.647735491690513,1.0166666666666642,0.4638805721144004,10,4
neel,clifford,zz_long_range,1000,0.23450563979764694,0.04348723802214411,64.27561436436393,7.060558328682837,0.47499999999999787,0.12261049438499645,10,4
neel,clifford,zz_long_range,3000,0.12343209000118652,0.04736880114269762,63.72607369123148,3.080665159037461,0.2474999999999992,0.10715599566709946,10,4
neel,pauli,hopping,10,0.9329901429320959,0.2852586970723144,10.664999999999985,2.8360712261859677,1.5749999999999988,0.8616843969807035,10,4
neel,pauli,hopping,30,0.5381435017610962,0.0828779947658378,9.959741379310334,1.8674050697187805,1.0499999999999994,0.1732050807568875,10,4
neel,pauli,hopping,100,0.2612053415171771,0.06378891819007194,9.909818181818173,0.6134075937197521,0.47249999999999964,0.08616843969807042,10,4
neel,pauli,hopping,300,0.14834987670352914,0.02442168659334487,9.161081939799335,0.3020407752517084,0.3149999999999998,0.099498743710662,10,4
neel,pauli,hopping,1000,0.09052187623612787,0.014275383132798533,9.10110405405404,0.21839913272731962,0.14849999999999994,0.039230090491866036,10,4
neel,pauli,hopping,3000,0.05134366721728298,0.011099719917241173,9.148595956985623,0.07221322630554997,0.10049999999999998,0.03620773398046335,10,4
