repeat,state_type,ensemble,n,n_sample,term_group,num_terms,rmse,mean_variance,max_error
0,neel,seeqst,6,10,z_single,6,0.2581988897471611,1.037037037037037,0.4
0,neel,seeqst,6,10,zz_long_range,10,0.3687817782917155,0.9599999999999997,0.6000000000000001
0,neel,seeqst,6,10,hopping,10,0.0,0.0,0.0
0,neel,seeqst,6,30,z_single,6,0.21081851067789192,0.9885057471264368,0.3999999999999999
0,neel,seeqst,6,30,zz_long_range,10,0.12995725793078616,1.0170114942528736,0.33333333333333326
0,neel,seeqst,6,30,hopping,10,4.266666666666667,320.1471264367816,8.533333333333333
0,neel,seeqst,6,100,z_single,6,0.16653327995729061,0.9820875420875419,0.33999999999999997
0,neel,seeqst,6,100,zz_long_range,10,0.07694153624668544,1.0041212121212122,0.1200000000000001
0,neel,seeqst,6,100,hopping,10,1.5145164244735019,295.57397979797963,2.56
0,neel,seeqst,6,300,z_single,6,0.09959175929020694,0.9933927907840961,0.18000000000000005
0,neel,seeqst,6,300,zz_long_range,10,0.03735713526965841,1.0019442586399112,0.08666666666666667
0,neel,seeqst,6,300,hopping,10,0.504838808157834,186.05063991081397,0.8533333333333334
0,neel,seeqst,6,1000,z_single,6,0.027700782179089,1.0002328995662464,0.03600000000000003
0,neel,seeqst,6,1000,zz_long_range,10,0.022995651762887717,1.0004716716716693,0.05400000000000005
0,neel,seeqst,6,1000,hopping,10,0.22897336089597847,157.3913625625615,0.384
0,neel,seeqst,6,3000,z_single,6,0.010077477638553987,1.0002318550628093,0.016000000000000014
0,neel,seeqst,6,3000,zz_long_range,10,0.018024674446127688,1.0000084472602118,0.036666666666666625
0,neel,seeqst,6,3000,hopping,10,0.201032004085585,136.5384322774268,0.3413333333333333
1,ground_state,pauli,6,10,z_single,6,0.4658842304729045,2.6499999999999972,0.8454352198631633
1,ground_state,pauli,6,10,zz_long_range,10,1.0721695904668729,10.169999999999996,1.517083697507555
1,ground_state,pauli,6,10,hopping,10,0.7414803261712843,10.079999999999988,1.4154095591112892
1,ground_state,pauli,6,30,z_single,6,0.24644724061113946,2.70862068965517,0.4232834753401256
1,ground_state,pauli,6,30,zz_long_range,10,0.7231502352321737,9.841034482758614,1.4253107348582412
1,ground_state,pauli,6,30,hopping,10,0.42514343253640674,8.5655172413793,0.7449563150983959
1,ground_state,pauli,6,100,z_single,6,0.14349566786145126,2.28712121212121,0.18543521986316336
1,ground_state,pauli,6,100,zz_long_range,10,0.20657106752567064,6.98563636363636,0.43531073485824173
1,ground_state,pauli,6,100,hopping,10,0.3492418688383285,9.274090909090896,0.8949563150983957
1,ground_state,pauli,6,300,z_single,6,0.03837239308993473,2.3884615384615384,0.07200800967629561
1,ground_state,pauli,6,300,zz_long_range,10,0.08489530586800167,8.486307692307681,0.16053531368120244
1,ground_state,pauli,6,300,hopping,10,0.1183713556668417,8.60252508361202,0.2649563150983961
1,ground_state,pauli,6,1000,z_single,6,0.04574111416157463,2.369318318318318,0.0639919903237044
1,ground_state,pauli,6,1000,zz_long_range,10,0.06893001262753928,8.468059459459452,0.1479163024924447
1,ground_state,pauli,6,1000,hopping,10,0.0758948911801521,8.78551621621615,0.1374095591112902
1,ground_state,pauli,6,3000,z_single,6,0.03919525640162648,2.401236412137414,0.07371652465987455
1,ground_state,pauli,6,3000,zz_long_range,10,0.05692133582775964,8.730999633210947,0.1095353136812025
1,ground_state,pauli,6,3000,hopping,10,0.07534482491457777,8.717505035011584,0.1974095591112902
1,ground_state,clifford,6,10,z_single,6,2.4535989741037856,70.41666666666647,5.752008009676286
1,ground_state,clifford,6,10,zz_long_range,10,1.9969752608808486,42.249999999999844,5.974689265141746
1,ground_state,clifford,6,10,hopping,10,1.944979729304702,42.24999999999988,5.9845904408887005
1,ground_state,clifford,6,30,z_single,6,2.2786257651212836,68.79789272030625,5.178768553196489
1,ground_state,clifford,6,30,zz_long_range,10,0.8292309331895438,14.083333333333268,1.641355931808421
1,ground_state,clifford,6,30,hopping,10,0.9984033352367103,42.24999999999985,1.7217103515682683
1,ground_state,clifford,6,100,z_single,6,1.197086300283146,104.62920875420845,2.404564780136831
1,ground_state,clifford,6,100,zz_long_range,10,0.7295262048486609,67.17323232323204,1.4246892651417542
1,ground_state,clifford,6,100,hopping,10,0.5909114951706864,42.16464646464621,1.1654095591112887
1,ground_state,clifford,6,300,z_single,6,0.5220864168928729,79.06763285024108,0.8454352198631632
1,ground_state,clifford,6,300,zz_long_range,10,0.41338450214977646,64.54782608695626,0.7441791958083209
1,ground_state,clifford,6,300,hopping,10,0.5221800931973846,77.01557971014475,1.4345904408887065
1,ground_state,clifford,6,1000,z_single,6,0.1841114357883416,76.06198281614921,0.35700800967629387
1,ground_state,clifford,6,1000,zz_long_range,10,0.1980296400469716,62.15782782782728,0.357916302492443
1,ground_state,clifford,6,1000,hopping,10,0.31992104603548455,68.0364564564568,0.719590440888707
1,ground_state,clifford,6,3000,z_single,6,0.15804500947410405,68.58733605646422,0.24661680867345964
1,ground_state,clifford,6,3000,zz_long_range,10,0.12210984449404828,63.191573857952264,0.2062496358257765
1,ground_state,clifford,6,3000,hopping,10,0.13198537543294334,65.52300183394274,0.2645904408887082
1,ground_state,seeqst,6,10,z_single,6,0.3821584547723579,1.1185185185185185,0.6454352198631632
1,ground_state,seeqst,6,10,zz_long_range,10,0.35106679879969444,1.5022222222222221,0.7228379405422373
1,ground_state,seeqst,6,10,hopping,10,5.744212615689889,327.68000000000006,13.244956315098397
1,ground_state,seeqst,6,30,z_single,6,0.1288386719590592,1.5647509578544063,0.214658656990371
1,ground_state,seeqst,6,30,zz_long_range,10,0.17916545940538672,1.6993103448275868,0.33946468631879734
1,ground_state,seeqst,6,30,hopping,10,2.598146308606849,218.4533333333331,4.711622981765062
1,ground_state,seeqst,6,100,z_single,6,0.046907532175801445,1.34060606060606,0.09456478013683667
1,ground_state,seeqst,6,100,zz_long_range,10,0.14848763637901602,1.4757979797979797,0.24053531368120262
1,ground_state,seeqst,6,100,hopping,10,1.7069222405184767,196.60800000000012,4.284956315098396
1,ground_state,seeqst,6,300,z_single,6,0.07604382083678554,1.3116387959866238,0.1233831913265413
1,ground_state,seeqst,6,300,zz_long_range,10,0.10860842272341865,1.4546711259754739,0.24135593180842507
1,ground_state,seeqst,6,300,hopping,10,0.9511713276584084,131.0719999999997,2.1516229817650627
1,ground_state,seeqst,6,1000,z_single,6,0.02819121108878307,1.3734601267934714,0.051991990323704385
1,ground_state,seeqst,6,1000,zz_long_range,10,0.035565401687685835,1.5557557557557569,0.064971289112283
