state_repeat,obs_repeat,state_type,ensemble,n,m,num_observables,estimator,mom_num_groups,n_sample,rmse,max_error
0,1,haar_random,seeqst_binomial_tuned,10,3,100,mean,1,20000,0.1625542778097282,0.624439623591445
0,1,haar_random,seeqst_binomial_tuned,10,3,100,mean,1,25000,0.14908758126388136,0.5704722600846889
0,1,haar_random,seeqst_binomial_tuned,10,3,100,mean,1,30000,0.128722738286486,0.5045121491319869
0,2,haar_random,pauli,10,3,100,mean,1,10,0.027701174169471342,0.07580527671274584
0,2,haar_random,pauli,10,3,100,mean,1,30,0.027701174169472154,0.07580527671274584
0,2,haar_random,pauli,10,3,100,mean,1,100,0.02770117416947243,0.07580527671274584
0,2,haar_random,pauli,10,3,100,mean,1,300,0.027701174169472514,0.07580527671274584
0,2,haar_random,pauli,10,3,100,mean,1,1000,0.027701174169472556,0.07580527671274584
0,2,haar_random,pauli,10,3,100,mean,1,3000,2.789276665287202,19.7453679562078
0,2,haar_random,pauli,10,3,100,mean,1,5000,2.051280207194768,11.872167956207807
0,2,haar_random,pauli,10,3,100,mean,1,10000,2.5680574260504545,5.9672679562078095
0,2,haar_random,pauli,10,3,100,mean,1,15000,1.8816144139541369,7.852131458659138
0,2,haar_random,pauli,10,3,100,mean,1,20000,1.6871755662117818,5.883831458659139
0,2,haar_random,pauli,10,3,100,mean,1,25000,1.486570166884336,4.70285145865914
0,2,haar_random,pauli,10,3,100,mean,1,30000,1.3126254447264107,5.874267385367742
0,2,haar_random,clifford,10,3,100,mean,1,10,0.027701174169472327,0.07580527671274563
0,2,haar_random,clifford,10,3,100,mean,1,30,0.027701174169472542,0.07580527671274634
0,2,haar_random,clifford,10,3,100,mean,1,100,2.2914291275012206,10.258128924563772
0,2,haar_random,clifford,10,3,100,mean,1,300,1.769831670698851,6.827614042893046
0,2,haar_random,clifford,10,3,100,mean,1,1000,0.9845587490077724,3.092691693134196
0,2,haar_random,clifford,10,3,100,mean,1,3000,0.6215772606961594,1.6917195262248708
0,2,haar_random,clifford,10,3,100,mean,1,5000,0.5196969802566157,1.2133861928915377
0,2,haar_random,clifford,10,3,100,mean,1,10000,0.306181624317689,1.1685018823693685
0,2,haar_random,clifford,10,3,100,mean,1,15000,0.2659105075364154,0.6903969484977149
0,2,haar_random,clifford,10,3,100,mean,1,20000,0.20281605006154949,0.4683136151643827
0,2,haar_random,clifford,10,3,100,mean,1,25000,0.18125559504976832,0.4883708065970019
0,2,haar_random,clifford,10,3,100,mean,1,30000,0.1675079723813766,0.44448732295214527
0,2,haar_random,seeqst_uniform,10,3,100,mean,1,10,0.027701174169472553,0.07580527671274584
0,2,haar_random,seeqst_uniform,10,3,100,mean,1,30,0.027701174169472553,0.07580527671274584
