state_repeat,obs_repeat,state_type,ensemble,n,m,num_terms,num_observables,min_xy,rest_mode,coeff_dist,estimator,mom_num_groups,n_sample,rmse,max_error
0,2,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,10,7.984207610349093,32.570776823469245
0,2,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,30,4.088324726329166,12.8839149172846
0,2,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,100,2.999023294342761,11.521432892196025
0,2,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,300,5.747058011017878,18.57873806995942
0,2,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,1000,2.275065683040999,6.317380244697096
0,2,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,3000,2.3267240215791376,9.860713604296008
0,2,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,4000,1.9364898568567321,7.411702200782354
0,2,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,5000,1.6853302141398074,5.927192173465099
0,2,haar_random,seeqst_binomial_tuned,6,5,5,50,1,z,normal,mean,1,6000,1.4810606234874242,4.872663262297552
0,3,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,10,22.159172817328614,106.70186161794481
0,3,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,30,10.369717351895005,42.22413532213723
0,3,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,100,5.567203619503387,17.24581218813599
0,3,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,300,3.102244121178131,9.718323221014137
0,3,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,1000,1.846985179816946,4.61637900302755
0,3,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,3000,1.1823658931213863,3.711050037477871
0,3,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,4000,0.9306337747001505,2.5345807157519524
0,3,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,5000,0.7591021360015556,2.289204717733556
0,3,haar_random,pauli,6,5,5,50,1,z,normal,mean,1,6000,0.6939404172879186,2.264472925629055
0,3,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,10,5.343557535355829,18.769606425299944
0,3,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,30,2.5377740113480804,6.144825426731256
0,3,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,100,1.936986274010064,7.1830788518106266
0,3,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,300,1.0849071370096366,3.1054492535047347
0,3,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,1000,0.572225237659444,1.6169171831185807
0,3,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,3000,0.29099762417138497,0.862826563816719
0,3,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,4000,0.2599759255816589,0.7151541857033838
0,3,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,5000,0.2197754410454206,0.614966522928359
0,3,haar_random,clifford,6,5,5,50,1,z,normal,mean,1,6000,0.22987127035660745,0.6461285052730699
0,3,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,10,10.331533802980037,33.06738281429081
0,3,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,30,5.027746934500292,17.881126767215616
0,3,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,100,2.557345452116736,10.24785913984402
0,3,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,300,1.6819190351184037,4.648310970576251
0,3,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,1000,0.9517184085823944,2.9659927806011144
0,3,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,3000,0.43115765218347396,0.992117273590787
0,3,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,4000,0.33137212231675195,0.806015820375163
0,3,haar_random,seeqst_uniform,6,5,5,50,1,z,normal,mean,1,5000,0.2716892996664682,0.5325987774999328
