state_repeat,obs_repeat,state_type,ensemble,n,l,num_observables,n_sample,rmse,max_error
0,47,haar_random,pauli,7,4,100,10000,0.5349101115633165,1.493678010041042
0,47,haar_random,pauli,7,4,100,25000,0.31054224528426666,0.8375780100410428
0,47,haar_random,clifford,7,4,100,10,4.271128741736627,12.939021244159576
0,47,haar_random,clifford,7,4,100,100,0.9902779316086784,3.852420505134733
0,47,haar_random,clifford,7,4,100,500,0.43165284322828784,1.0997522417498637
0,47,haar_random,clifford,7,4,100,1000,0.32260649669695535,0.7810162045001257
0,47,haar_random,clifford,7,4,100,5000,0.1709244292365557,0.47141620450012645
0,47,haar_random,clifford,7,4,100,10000,0.12970863728168958,0.312090569830574
0,47,haar_random,clifford,7,4,100,25000,0.06322562641047155,0.16441757582998603
0,47,haar_random,seeqst_uniform,7,4,100,10,4.427630820560447,25.649094680490006
0,47,haar_random,seeqst_uniform,7,4,100,100,1.4231012817076498,5.052247758250133
0,47,haar_random,seeqst_uniform,7,4,100,500,0.6745620162549562,2.4986218279454766
0,47,haar_random,seeqst_uniform,7,4,100,1000,0.44403833132454623,1.7306218279454766
0,47,haar_random,seeqst_uniform,7,4,100,5000,0.2185079201705921,0.6631094301694251
0,47,haar_random,seeqst_uniform,7,4,100,10000,0.1392230759485477,0.4089561500198225
0,47,haar_random,seeqst_uniform,7,4,100,25000,0.10073741100944493,0.29325072091944343
0,47,haar_random,seeqst_binomial,7,4,100,10,0.7059830111474813,3.604706132284629
0,47,haar_random,seeqst_binomial,7,4,100,100,1.913298535320616,17.494763424757988
0,47,haar_random,seeqst_binomial,7,4,100,500,0.67422884677927,3.540772453780092
0,47,haar_random,seeqst_binomial,7,4,100,1000,1.338110625605993,12.163611815584085
0,47,haar_random,seeqst_binomial,7,4,100,5000,0.8634905080811968,4.884300413575674
0,47,haar_random,seeqst_binomial,7,4,100,10000,0.5166721956702046,2.3827519453672337
0,47,haar_random,seeqst_binomial,7,4,100,25000,0.42347632370615124,2.4267018609065154
0,47,haar_random,seeqst_unifsize_l,7,4,100,10,5.587760304247959,34.99750943016942
0,47,haar_random,seeqst_unifsize_l,7,4,100,100,1.3343048034369562,3.5807509558683965
0,47,haar_random,seeqst_unifsize_l,7,4,100,500,0.7509804211827933,2.6858273964965265
0,47,haar_random,seeqst_unifsize_l,7,4,100,1000,0.46531052708296006,1.336157603445973
0,47,haar_random,seeqst_unifsize_l,7,4,100,5000,0.2294091267865929,0.5972219899589568
0,47,haar_random,seeqst_unifsize_l,7,4,100,10000,0.1499717201268518,0.39115760344597306
0,47,haar_random,seeqst_unifsize_l,7,4,100,25000,0.0909947964165248,0.30837711230966436
0,48,haar_random,pauli,7,4,100,10,0.08556399307618368,0.2850991302184637
0,48,haar_random,pauli,7,4,100,100,5.362613469241103,22.008112634652328
0,48,haar_random,pauli,7,4,100,500,1.9159817179187926,4.621626015989348
0,48,haar_random,pauli,7,4,100,1000,1.3067258272658806,4.478285503128031
0,48,haar_random,pauli,7,4,100,5000,0.6835442180646402,1.6481926211695206
0,48,haar_random,pauli,7,4,100,10000,0.5531550492394788,1.449982432026573
0,48,haar_random,pauli,7,4,100,25000,0.33732169226530356,0.7782558432775984
0,48,haar_random,clifford,7,4,100,10,4.08345299977136,13.052912456697822
0,48,haar_random,clifford,7,4,100,100,1.3120930718901733,3.852420505134733
0,48,haar_random,clifford,7,4,100,500,0.41854753317062743,1.2678559715636912
0,48,haar_random,clifford,7,4,100,1000,0.31908153738565337,0.7649305293804
0,48,haar_random,clifford,7,4,100,5000,0.14930974799372784,0.5427927055014128
0,48,haar_random,clifford,7,4,100,10000,0.10623704654802688,0.29769270550141375
0,48,haar_random,clifford,7,4,100,25000,0.06979785997003474,0.16441757582998603
0,48,haar_random,seeqst_uniform,7,4,100,10,5.104344399150705,25.598355899617257
0,48,haar_random,seeqst_uniform,7,4,100,100,1.6995512494275349,5.118355899617256
0,48,haar_random,seeqst_uniform,7,4,100,500,0.6826608724271793,1.6392299212361867
0,48,haar_random,seeqst_uniform,7,4,100,1000,0.4449036719279149,1.0455733559615583
0,48,haar_random,seeqst_uniform,7,4,100,5000,0.19029822741005675,0.43023481223055404
0,48,haar_random,seeqst_uniform,7,4,100,10000,0.13937272999542988,0.35942789580578066
0,48,haar_random,seeqst_uniform,7,4,100,25000,0.09822429502691758,0.29325072091944343
0,48,haar_random,seeqst_binomial,7,4,100,10,17.482050463077773,174.64329162532292
0,48,haar_random,seeqst_binomial,7,4,100,100,2.055489587315189,17.422400330029284
0,48,haar_random,seeqst_binomial,7,4,100,500,4.279296963206673,24.478727118815314
0,48,haar_random,seeqst_binomial,7,4,100,1000,2.7836750655535054,12.25043557362581
0,48,haar_random,seeqst_binomial,7,4,100,5000,0.9335248472231753,2.530014454640751
0,48,haar_random,seeqst_binomial,7,4,100,10000,0.5990153042929992,2.3827519453672337
0,48,haar_random,seeqst_binomial,7,4,100,25000,0.4077817671082307,1.504240194311355
0,48,haar_random,seeqst_unifsize_l,7,4,100,10,3.4807640732930127,20.979365187769446
0,48,haar_random,seeqst_unifsize_l,7,4,100,100,1.5713467058086485,6.9983558996172555
0,48,haar_random,seeqst_unifsize_l,7,4,100,500,0.6842220345619435,2.1629063636706674
0,48,haar_random,seeqst_unifsize_l,7,4,100,1000,0.4946790329386358,1.239365187769446
0,48,haar_random,seeqst_unifsize_l,7,4,100,5000,0.22776012149957917,0.7951945362078703
0,48,haar_random,seeqst_unifsize_l,7,4,100,10000,0.18719505131783848,0.47712658321066775
0,48,haar_random,seeqst_unifsize_l,7,4,100,25000,0.10832345919001037,0.3161265832106677
0,49,haar_random,pauli,7,4,100,10,0.08701144621253463,0.2006278856696513
0,49,haar_random,pauli,7,4,100,100,4.879737141510268,21.92791010737486
0,49,haar_random,pauli,7,4,100,500,1.7434157979305607,4.521828448863426
0,49,haar_random,pauli,7,4,100,1000,1.2782124541926794,4.431910107374867
0,49,haar_random,pauli,7,4,100,5000,0.6830707958409808,2.220336163236976
0,49,haar_random,pauli,7,4,100,10000,0.5061099188977266,1.2089700787638131
0,49,haar_random,pauli,7,4,100,25000,0.27889684366360895,0.9081361632369765
0,49,haar_random,clifford,7,4,100,10,3.169360144281873,13.008407385969406
0,49,haar_random,clifford,7,4,100,100,1.1898186820319345,3.9976747644192225
0,49,haar_random,clifford,7,4,100,500,0.44244188010866126,1.1596747644192313
0,49,haar_random,clifford,7,4,100,1000,0.32657562660153455,0.8665071675305163
0,49,haar_random,clifford,7,4,100,5000,0.16487148484386502,0.38567476441923393
0,49,haar_random,clifford,7,4,100,10000,0.12379828721275542,0.25681307729589686
0,49,haar_random,clifford,7,4,100,25000,0.07452174179358141,0.19951230534914582
0,49,haar_random,seeqst_uniform,7,4,100,10,5.117399973807616,25.677720582310364
