repeat,ensemble,n,estimator,mom_num_groups,n_sample,estimate,error,abs_error
1,seeqst_binomial_q0.5,10,mean,1,300,0.0,4.972135954999581,4.972135954999581
1,seeqst_binomial_q0.5,10,mean,1,500,0.0,4.972135954999581,4.972135954999581
1,seeqst_binomial_q0.5,10,mean,1,750,-1.3653333333333333,3.6068026216662483,3.6068026216662483
1,seeqst_binomial_q0.5,10,mean,1,1000,-2.048,2.9241359549995813,2.9241359549995813
2,pauli,10,mean,1,10,-2.024999999999999,2.9471359549995824,2.9471359549995824
2,pauli,10,mean,1,30,0.5999999999999996,5.572135954999581,5.572135954999581
2,pauli,10,mean,1,100,-6.6374999999999975,-1.6653640450004161,1.6653640450004161
2,pauli,10,mean,1,300,-9.734999999999998,-4.762864045000416,4.762864045000416
2,pauli,10,mean,1,500,-20.749499999999994,-15.777364045000413,15.777364045000413
2,pauli,10,mean,1,750,-15.050999999999995,-10.078864045000413,10.078864045000413
2,pauli,10,mean,1,1000,-14.476499999999996,-9.504364045000415,9.504364045000415
2,clifford,10,mean,1,10,-6.445020634832835e-16,4.9721359549995805,4.9721359549995805
2,clifford,10,mean,1,30,-7.213833924030139e-16,4.9721359549995805,4.9721359549995805
2,clifford,10,mean,1,100,5.124999999999991,10.097135954999573,10.097135954999573
2,clifford,10,mean,1,300,-5.124999999999987,-0.1528640450004053,0.1528640450004053
2,clifford,10,mean,1,500,-3.5874999999999893,1.3846359549995921,1.3846359549995921
2,clifford,10,mean,1,750,-6.149999999999984,-1.177864045000403,1.177864045000403
2,clifford,10,mean,1,1000,-5.893749999999987,-0.921614045000406,0.921614045000406
2,seeqst_uniform,10,mean,1,10,0.0,4.972135954999581,4.972135954999581
2,seeqst_uniform,10,mean,1,30,0.0,4.972135954999581,4.972135954999581
2,seeqst_uniform,10,mean,1,100,0.0,4.972135954999581,4.972135954999581
2,seeqst_uniform,10,mean,1,300,-10.24,-5.267864045000419,5.267864045000419
2,seeqst_uniform,10,mean,1,500,-6.144,-1.1718640450004187,1.1718640450004187
2,seeqst_uniform,10,mean,1,750,-5.461333333333333,-0.48919737833375176,0.48919737833375176
2,seeqst_uniform,10,mean,1,1000,-9.216,-4.243864045000418,4.243864045000418
2,seeqst_binomial_q0.09091,10,mean,1,10,-25.937424604112483,-20.9652886491129,20.9652886491129
2,seeqst_binomial_q0.09091,10,mean,1,30,-25.937424604112483,-20.9652886491129,20.9652886491129
2,seeqst_binomial_q0.09091,10,mean,1,100,-18.156197222878742,-13.18406126787916,13.18406126787916
2,seeqst_binomial_q0.09091,10,mean,1,300,-11.23955066178208,-6.267414706782498,6.267414706782498
2,seeqst_binomial_q0.09091,10,mean,1,500,-9.337472857480495,-4.365336902480914,4.365336902480914
2,seeqst_binomial_q0.09091,10,mean,1,750,-7.262478889151497,-2.2903429341519157,2.2903429341519157
2,seeqst_binomial_q0.09091,10,mean,1,1000,-5.706233412904748,-0.7340974579051665,0.7340974579051665
2,seeqst_binomial_q0.5,10,mean,1,10,0.0,4.972135954999581,4.972135954999581
2,seeqst_binomial_q0.5,10,mean,1,30,34.13333333333333,39.10546928833291,39.10546928833291
2,seeqst_binomial_q0.5,10,mean,1,100,10.24,15.212135954999582,15.212135954999582
2,seeqst_binomial_q0.5,10,mean,1,300,6.826666666666667,11.798802621666248,11.798802621666248
2,seeqst_binomial_q0.5,10,mean,1,500,4.096,9.068135954999581,9.068135954999581
2,seeqst_binomial_q0.5,10,mean,1,750,1.3653333333333333,6.3374692883329145,6.3374692883329145
2,seeqst_binomial_q0.5,10,mean,1,1000,-2.048,2.9241359549995813,2.9241359549995813
3,pauli,10,mean,1,10,-1.3500000000000005,3.622135954999581,3.622135954999581
3,pauli,10,mean,1,30,-10.799999999999992,-5.82786404500041,5.82786404500041
3,pauli,10,mean,1,100,-9.539999999999997,-4.567864045000416,4.567864045000416
3,pauli,10,mean,1,300,-6.374999999999998,-1.4028640450004168,1.4028640450004168
3,pauli,10,mean,1,500,-4.936499999999999,0.03563595499958261,0.03563595499958261
3,pauli,10,mean,1,750,-5.753999999999999,-0.7818640450004173,0.7818640450004173
3,pauli,10,mean,1,1000,-10.109249999999996,-5.1371140450004145,5.1371140450004145
3,clifford,10,mean,1,10,25.624999999999925,30.59713595499951,30.59713595499951
3,clifford,10,mean,1,30,-1.1252724022358646e-14,4.97213595499957,4.97213595499957
3,clifford,10,mean,1,100,2.5624999999999893,7.534635954999571,7.534635954999571
3,clifford,10,mean,1,300,-7.687499999999982,-2.715364045000401,2.715364045000401
3,clifford,10,mean,1,500,-11.787499999999971,-6.81536404500039,6.81536404500039
3,clifford,10,mean,1,750,-12.299999999999978,-7.327864045000396,7.327864045000396
3,clifford,10,mean,1,1000,-12.043749999999982,-7.0716140450004,7.0716140450004
3,seeqst_uniform,10,mean,1,10,0.0,4.972135954999581,4.972135954999581
3,seeqst_uniform,10,mean,1,30,0.0,4.972135954999581,4.972135954999581
3,seeqst_uniform,10,mean,1,100,-20.48,-15.507864045000419,15.507864045000419
3,seeqst_uniform,10,mean,1,300,-6.826666666666667,-1.8545307116670857,1.8545307116670857
3,seeqst_uniform,10,mean,1,500,-6.144,-1.1718640450004187,1.1718640450004187
3,seeqst_uniform,10,mean,1,750,-4.096,0.8761359549995813,0.8761359549995813
3,seeqst_uniform,10,mean,1,1000,-7.168,-2.1958640450004188,2.1958640450004188
3,seeqst_binomial_q0.09091,10,mean,1,10,-51.874849208224965,-46.902713253225386,46.902713253225386
3,seeqst_binomial_q0.09091,10,mean,1,30,-25.937424604112483,-20.9652886491129,20.9652886491129
3,seeqst_binomial_q0.09091,10,mean,1,100,-15.56245476246749,-10.59031880746791,10.59031880746791
3,seeqst_binomial_q0.09091,10,mean,1,300,-12.104131481919161,-7.13199552691958,7.13199552691958
3,seeqst_binomial_q0.09091,10,mean,1,500,-9.337472857480495,-4.365336902480914,4.365336902480914
3,seeqst_binomial_q0.09091,10,mean,1,750,-9.337472857480497,-4.365336902480916,4.365336902480916
3,seeqst_binomial_q0.09091,10,mean,1,1000,-5.965607658945872,-0.993471703946291,0.993471703946291
3,seeqst_binomial_q0.5,10,mean,1,10,0.0,4.972135954999581,4.972135954999581
3,seeqst_binomial_q0.5,10,mean,1,30,0.0,4.972135954999581,4.972135954999581
3,seeqst_binomial_q0.5,10,mean,1,100,-10.24,-5.267864045000419,5.267864045000419
3,seeqst_binomial_q0.5,10,mean,1,300,-3.4133333333333336,1.5588026216662478,1.5588026216662478
3,seeqst_binomial_q0.5,10,mean,1,500,0.0,4.972135954999581,4.972135954999581
3,seeqst_binomial_q0.5,10,mean,1,750,-6.826666666666667,-1.8545307116670857,1.8545307116670857
3,seeqst_binomial_q0.5,10,mean,1,1000,-5.12,-0.14786404500041872,0.14786404500041872
4,pauli,10,mean,1,10,8.324999999999996,13.297135954999577,13.297135954999577
4,pauli,10,mean,1,30,3.1499999999999972,8.122135954999578,8.122135954999578
4,pauli,10,mean,1,100,-2.34,2.6321359549995815,2.6321359549995815
4,pauli,10,mean,1,300,-6.509999999999999,-1.5378640450004175,1.5378640450004175
4,pauli,10,mean,1,500,-3.748500000000001,1.2236359549995806,1.2236359549995806
4,pauli,10,mean,1,750,-4.455000000000001,0.5171359549995804,0.5171359549995804
4,pauli,10,mean,1,1000,-4.5045,0.4676359549995812,0.4676359549995812
4,clifford,10,mean,1,10,-25.624999999999954,-20.65286404500037,20.65286404500037
4,clifford,10,mean,1,30,-3.845126618727083e-15,4.972135954999578,4.972135954999578
4,clifford,10,mean,1,100,-5.124999999999991,-0.15286404500040973,0.15286404500040973
4,clifford,10,mean,1,300,-3.4166666666666585,1.5554692883329229,1.5554692883329229
4,clifford,10,mean,1,500,-2.5624999999999947,2.4096359549995867,2.4096359549995867
4,clifford,10,mean,1,750,-3.758333333333323,1.2138026216662583,1.2138026216662583
4,clifford,10,mean,1,1000,-2.562499999999994,2.4096359549995876,2.4096359549995876
4,seeqst_uniform,10,mean,1,10,102.4,107.37213595499959,107.37213595499959
4,seeqst_uniform,10,mean,1,30,34.13333333333333,39.10546928833291,39.10546928833291
4,seeqst_uniform,10,mean,1,100,10.24,15.212135954999582,15.212135954999582
4,seeqst_uniform,10,mean,1,300,-3.4133333333333336,1.5588026216662478,1.5588026216662478
4,seeqst_uniform,10,mean,1,500,-2.048,2.9241359549995813,2.9241359549995813
4,seeqst_uniform,10,mean,1,750,-5.461333333333333,-0.48919737833375176,0.48919737833375176
4,seeqst_uniform,10,mean,1,1000,-7.168,-2.1958640450004188,2.1958640450004188
4,seeqst_binomial_q0.09091,10,mean,1,10,0.0,4.972135954999581,4.972135954999581
4,seeqst_binomial_q0.09091,10,mean,1,30,-8.645808201370828,-3.673672246371247,3.673672246371247
4,seeqst_binomial_q0.09091,10,mean,1,100,-7.7812273812337445,-2.809091426234163,2.809091426234163
4,seeqst_binomial_q0.09091,10,mean,1,300,-10.374969841644996,-5.402833886645414,5.402833886645414
4,seeqst_binomial_q0.09091,10,mean,1,500,-9.337472857480495,-4.365336902480914,4.365336902480914
4,seeqst_binomial_q0.09091,10,mean,1,750,-6.570814233041831,-1.5986782780422493,1.5986782780422493
4,seeqst_binomial_q0.09091,10,mean,1,1000,-5.187484920822498,-0.2153489658229164,0.2153489658229164
4,seeqst_binomial_q0.5,10,mean,1,10,0.0,4.972135954999581,4.972135954999581
4,seeqst_binomial_q0.5,10,mean,1,30,0.0,4.972135954999581,4.972135954999581
4,seeqst_binomial_q0.5,10,mean,1,100,-10.24,-5.267864045000419,5.267864045000419
4,seeqst_binomial_q0.5,10,mean,1,300,-6.826666666666667,-1.8545307116670857,1.8545307116670857
4,seeqst_binomial_q0.5,10,mean,1,500,-6.144,-1.1718640450004187,1.1718640450004187
