state_type,n,k,ensemble,pauli_index,pauli_label,true_value,empirical_mean,abs_bias,empirical_var,theory_var_bound,sample_complexity_eps,num_shots
haar_random,3,3,clifford,2,YZX,-0.36074334578963785,-0.29999999999999977,0.06074334578963808,7.494983277591958,24.0,749.4983277591956,300
haar_random,3,3,clifford,3,ZXY,0.4596989866193084,0.7799999999999995,0.32030101338069106,11.3092976588629,24.0,1130.9297658862897,300
haar_random,3,3,clifford,4,ZXY,0.4596989866193084,0.7799999999999995,0.32030101338069106,11.3092976588629,24.0,1130.9297658862897,300
haar_random,3,3,clifford,5,YXX,0.35333736815429395,0.3599999999999996,0.006662631845705647,9.080668896321084,24.0,908.0668896321082,300
haar_random,3,3,seeqst,0,ZZX,0.09305416219949104,0.10666666666666667,0.013612504467175629,17.11232998885177,,1711.2329988851766,300
haar_random,3,3,seeqst,1,ZYY,-0.08838332163966373,0.21333333333333335,0.30171665497299704,22.21520624303239,,2221.5206243032385,300
haar_random,3,3,seeqst,2,YZX,-0.36074334578963785,-0.7466666666666667,0.38592332087702885,21.7014938684504,,2170.1493868450393,300
haar_random,3,3,seeqst,3,ZXY,0.4596989866193084,0.16,0.2996989866193084,17.954247491638757,,1795.4247491638753,300
haar_random,3,3,seeqst,4,ZXY,0.4596989866193084,0.16,0.2996989866193084,17.954247491638757,,1795.4247491638753,300
haar_random,3,3,seeqst,5,YXX,0.35333736815429395,0.16,0.19333736815429395,16.241872909698955,,1624.1872909698952,300
haar_random,4,1,pauli,0,IIIZ,-0.051159953977556155,0.09999999999999995,0.1511599539775561,3.180602006688955,3.0,318.06020066889545,300
haar_random,4,1,pauli,1,IIYI,-0.01120516786684336,-0.1,0.08879483213315664,2.698996655518387,3.0,269.8996655518386,300
haar_random,4,1,pauli,2,IIYI,-0.01120516786684336,-0.1,0.08879483213315664,2.698996655518387,3.0,269.8996655518386,300
haar_random,4,1,pauli,3,ZIII,-0.19304413641751195,-0.33,0.13695586358248807,2.7502675585284186,3.0,275.0267558528418,300
haar_random,4,1,pauli,4,YIII,0.02037617233085895,0.06999999999999998,0.04962382766914103,2.674013377926422,3.0,267.40133779264215,300
haar_random,4,1,pauli,5,IXII,-0.10834808734011775,-0.15999999999999995,0.0516519126598822,2.8639464882943284,3.0,286.3946488294328,300
haar_random,4,1,clifford,0,IIIZ,-0.051159953977556155,-0.11333333333333326,0.0621733793557771,15.451995540691174,48.0,1545.199554069117,300
haar_random,4,1,clifford,1,IIYI,-0.01120516786684336,-0.05666666666666668,0.04546149879982332,22.227547380156054,48.0,2222.7547380156047,300
haar_random,4,1,clifford,2,IIYI,-0.01120516786684336,-0.05666666666666668,0.04546149879982332,22.227547380156054,48.0,2222.7547380156047,300
haar_random,4,1,clifford,3,ZIII,-0.19304413641751195,-0.1699999999999999,0.023044136417512046,14.469331103678826,48.0,1446.9331103678824,300
haar_random,4,1,clifford,4,YIII,0.02037617233085895,-0.2833333333333331,0.3037095056641921,16.350891861761408,48.0,1635.0891861761404,300
haar_random,4,1,clifford,5,IXII,-0.10834808734011775,0.05666666666666676,0.1650147540067845,20.294437012263067,48.0,2029.4437012263063,300
haar_random,4,1,seeqst,0,IIIZ,-0.051159953977556155,-0.026666666666666637,0.024493287310889518,1.9524637681159434,,195.2463768115943,300
haar_random,4,1,seeqst,1,IIYI,-0.01120516786684336,-0.10666666666666667,0.09546149879982331,10.262831661092573,,1026.283166109257,300
haar_random,4,1,seeqst,2,IIYI,-0.01120516786684336,-0.10666666666666667,0.09546149879982331,10.262831661092573,,1026.283166109257,300
haar_random,4,1,seeqst,3,ZIII,-0.19304413641751195,-0.04666666666666669,0.14637746975084526,1.9376142697881829,,193.76142697881824,300
haar_random,4,1,seeqst,4,YIII,0.02037617233085895,0.0,0.02037617233085895,13.698996655518394,,1369.8996655518392,300
haar_random,4,1,seeqst,5,IXII,-0.10834808734011775,0.0,0.10834808734011775,34.247491638795985,,3424.7491638795977,300
haar_random,4,2,pauli,0,IIYY,0.14073123702233287,0.05999999999999998,0.0807312370223329,8.665284280936454,9.0,866.5284280936453,300
haar_random,4,2,pauli,1,IXXI,-0.19860276896408893,-0.4499999999999999,0.25139723103591094,9.820234113712344,9.0,982.0234113712341,300
haar_random,4,2,pauli,2,IIXY,-0.3289290002306571,-0.11999999999999995,0.20892900023065714,9.196254180602018,9.0,919.6254180602017,300
haar_random,4,2,pauli,3,IIZZ,-0.0344539413741039,-0.05999999999999995,0.025546058625896047,8.123478260869565,9.0,812.3478260869563,300
haar_random,4,2,pauli,4,IIXY,-0.3289290002306571,-0.11999999999999995,0.20892900023065714,9.196254180602018,9.0,919.6254180602017,300
haar_random,4,2,pauli,5,ZXII,0.2972666317291338,0.11999999999999995,0.17726663172913387,8.654448160535127,9.0,865.4448160535126,300
haar_random,4,2,clifford,0,IIYY,0.14073123702233287,0.39666666666666633,0.25593542964433347,14.340457079152653,48.0,1434.045707915265,300
haar_random,4,2,clifford,1,IXXI,-0.19860276896408893,-0.5099999999999996,0.31139723103591066,20.03668896321075,48.0,2003.6688963210747,300
haar_random,4,2,clifford,2,IIXY,-0.3289290002306571,-0.39666666666666633,0.06773766643600926,27.872229654403643,48.0,2787.2229654403636,300
haar_random,4,2,clifford,3,IIZZ,-0.0344539413741039,0.453333333333333,0.4877872747074369,19.124905239687898,48.0,1912.4905239687894,300
haar_random,4,2,clifford,4,IIXY,-0.3289290002306571,-0.39666666666666633,0.06773766643600926,27.872229654403643,48.0,2787.2229654403636,300
haar_random,4,2,clifford,5,ZXII,0.2972666317291338,0.28333333333333305,0.013933298395800764,16.35089186176143,48.0,1635.0891861761427,300
haar_random,4,2,seeqst,0,IIYY,0.14073123702233287,0.32,0.17926876297766714,23.870501672240746,,2387.050167224074,300
haar_random,4,2,seeqst,1,IXXI,-0.19860276896408893,-0.32,0.12139723103591107,23.870501672240675,,2387.050167224067,300
haar_random,4,2,seeqst,2,IIXY,-0.3289290002306571,-0.4266666666666667,0.09773766643600962,27.215340022296626,,2721.5340022296623,300
haar_random,4,2,seeqst,3,IIZZ,-0.0344539413741039,-0.07333333333333333,0.03887939195922943,1.9076477146042348,,190.76477146042345,300
haar_random,4,2,seeqst,4,IIXY,-0.3289290002306571,-0.4266666666666667,0.09773766643600962,27.215340022296626,,2721.5340022296623,300
haar_random,4,2,seeqst,5,ZXII,0.2972666317291338,0.8533333333333334,0.5560667016041996,33.51687848383509,,3351.6878483835085,300
haar_random,4,3,pauli,0,YYIZ,-0.12234154097307436,-0.2699999999999999,0.14765845902692554,41.37501672240783,27.0,4137.501672240782,300
haar_random,4,3,pauli,1,ZZIY,-0.3816084000760781,-1.1842378929335004e-17,0.3816084000760781,14.628762541806012,27.0,1462.8762541806009,300
haar_random,4,3,pauli,2,ZZYI,-0.11070688835094775,0.2699999999999999,0.3807068883509477,21.870000000000047,27.0,2187.000000000004,300
haar_random,4,3,pauli,3,YIZZ,-0.3894785587685752,-0.3599999999999999,0.029478558768575303,29.127491638796116,27.0,2912.749163879611,300
haar_random,4,3,pauli,4,IXZZ,0.08925921320569444,0.3599999999999998,0.27074078679430535,29.127491638796137,27.0,2912.749163879613,300
haar_random,4,3,pauli,5,ZXZI,-0.11386923901603249,-0.5399999999999998,0.4261307609839673,33.841204013377904,27.0,3384.1204013377896,300
haar_random,4,3,clifford,0,YYIZ,-0.12234154097307436,-0.16999999999999976,0.04765845902692541,12.536220735785866,48.0,1253.6220735785864,300
haar_random,4,3,clifford,1,ZZIY,-0.3816084000760781,-0.5099999999999995,0.12839159992392135,14.237357859531718,48.0,1423.7357859531714,300
haar_random,4,3,clifford,2,ZZYI,-0.11070688835094775,5.667649842065585e-17,0.1107068883509478,11.598662207357837,48.0,1159.8662207357834,300
haar_random,4,3,clifford,3,YIZZ,-0.3894785587685752,-0.22666666666666638,0.1628118921019088,19.279554069119285,48.0,1927.955406911928,300
haar_random,4,3,clifford,4,IXZZ,0.08925921320569444,-0.16999999999999985,0.2592592132056943,22.201772575250892,48.0,2220.177257525089,300
haar_random,4,3,clifford,5,ZXZI,-0.11386923901603249,-0.283333333333333,0.1694640943173005,20.217112597547395,48.0,2021.711259754739,300
haar_random,4,3,seeqst,0,YYIZ,-0.12234154097307436,0.7466666666666667,0.8690082076397411,64.51085841694483,,6451.085841694481,300
haar_random,4,3,seeqst,1,ZZIY,-0.3816084000760781,0.0,0.3816084000760781,27.39799331103679,,2739.7993311036785,300
haar_random,4,3,seeqst,2,ZZYI,-0.11070688835094775,0.32,0.4307068883509477,37.569498327759106,,3756.9498327759097,300
haar_random,4,3,seeqst,3,YIZZ,-0.3894785587685752,-0.96,0.5705214412314248,36.74755852842793,,3674.755852842792,300
haar_random,4,3,seeqst,4,IXZZ,0.08925921320569444,0.10666666666666667,0.017407453460972236,30.811326644370013,,3081.1326644370006,300
haar_random,4,3,seeqst,5,ZXZI,-0.11386923901603249,-0.32,0.20613076098396751,30.71999999999996,,3071.9999999999955,300
haar_random,4,4,pauli,0,YZYX,-0.2930481513177231,-0.8099999999999996,0.5169518486822765,65.17113712374582,81.0,6517.113712374581,300
haar_random,4,4,pauli,1,XZYZ,0.3713097319974124,0.8099999999999996,0.4386902680025872,109.05742474916387,81.0,10905.742474916386,300
haar_random,4,4,pauli,2,YZXX,-0.01105735106795169,0.0,0.01105735106795169,131.65886287625403,81.0,13165.8862876254,300
haar_random,4,4,pauli,3,ZXZX,0.565750500759533,0.26999999999999985,0.2957505007595332,21.87000000000003,81.0,2187.0000000000027,300
haar_random,4,4,pauli,4,YXYX,0.07160658374746748,-0.2699999999999998,0.3416065837474673,65.75628762541754,81.0,6575.628762541753,300
haar_random,4,4,pauli,5,XZXY,-0.10568847770680798,0.26999999999999985,0.3756884777068078,109.64257525083538,81.0,10964.257525083536,300
haar_random,4,4,clifford,0,YZYX,-0.2930481513177231,-0.45333333333333287,0.16028518201560976,15.258684503901904,48.0,1525.86845039019,300
haar_random,4,4,clifford,1,XZYZ,0.3713097319974124,0.45333333333333287,0.08202360133592046,28.790457079152755,48.0,2879.0457079152748,300
haar_random,4,4,clifford,2,YZXX,-0.01105735106795169,0.22666666666666657,0.23772401773461826,13.48022296544036,48.0,1348.0222965440357,300
haar_random,4,4,clifford,3,ZXZX,0.565750500759533,0.8499999999999992,0.28424949924046616,13.77341137123739,48.0,1377.3411371237387,300
haar_random,4,4,clifford,4,YXYX,0.07160658374746748,-0.16999999999999985,0.24160658374746732,12.536220735785879,48.0,1253.6220735785876,300
haar_random,4,4,clifford,5,XZXY,-0.10568847770680798,-0.11333333333333319,0.007644855626525213,23.18443701226306,48.0,2318.4437012263056,300
haar_random,4,4,seeqst,0,YZYX,-0.2930481513177231,-0.10666666666666667,0.18638148465105642,30.811326644370126,,3081.132664437012,300
haar_random,4,4,seeqst,1,XZYZ,0.3713097319974124,0.10666666666666667,0.2646430653307457,23.96182831661099,,2396.1828316610986,300
haar_random,4,4,seeqst,2,YZXX,-0.01105735106795169,0.10666666666666667,0.11772401773461837,30.811326644370084,,3081.132664437008,300
haar_random,4,4,seeqst,3,ZXZX,0.565750500759533,0.21333333333333335,0.35241716742619966,27.35232998885176,,2735.2329988851757,300
haar_random,4,4,seeqst,4,YXYX,0.07160658374746748,0.64,0.5683934162525326,33.83652173913052,,3383.6521739130512,300
haar_random,4,4,seeqst,5,XZXY,-0.10568847770680798,0.10666666666666667,0.21235514437347464,30.811326644369988,,3081.1326644369983,300
