method,state_repeat,obs_repeat,state_type,n,num_observables,num_distinct_circuits,n_sample,rmse,mean_variance,max_error,coverage,mean_matches_per_observable
derandomized_seeqst,7,1,ghz,10,100,96.0,30000,0.0562865283078913,1.0000432815895948,0.17687074829931973,1.0,324.18
derandomized_seeqst,7,1,ghz,10,100,96.0,40000,0.048968176311416485,1.0000065635080113,0.17560975609756097,1.0,431.91
derandomized_seeqst,7,1,ghz,10,100,96.0,50000,0.044929719822158334,0.9999050041800159,0.17509727626459143,1.0,540.26
random_seeqst,7,1,ghz,10,100,,10,20.48,4194.304000000001,204.8,1.0,10.0
random_seeqst,7,1,ghz,10,100,,30,6.826666666666667,1398.1013333333312,68.26666666666667,1.0,30.0
random_seeqst,7,1,ghz,10,100,,100,5.016554993219949,2516.582399999999,20.48,1.0,100.0
random_seeqst,7,1,ghz,10,100,,300,2.81470677375499,2376.7722666666527,6.826666666666667,1.0,300.0
random_seeqst,7,1,ghz,10,100,,1000,1.5049664979659847,1929.0439597998181,4.096,1.0,1000.0
random_seeqst,7,1,ghz,10,100,,3000,0.9004991800847646,2097.040114598163,2.7306666666666666,1.0,3000.0
random_seeqst,7,1,ghz,10,100,,10000,0.43589215546967575,2084.5875447832614,0.8192,1.0,10000.0
random_seeqst,7,1,ghz,10,100,,20000,0.3582536844192953,2076.1559420947915,0.9216,1.0,20000.0
random_seeqst,7,1,ghz,10,100,,30000,0.30284558353501984,2016.0376084731006,0.9557333333333333,1.0,30000.0
random_seeqst,7,1,ghz,10,100,,40000,0.25594879487897576,2041.5630012894853,0.7168,1.0,40000.0
random_seeqst,7,1,ghz,10,100,,50000,0.208815670829562,2035.9122758616993,0.57344,1.0,50000.0
derandomized_seeqst,7,2,ghz,10,100,98.0,10,0.9428090415820634,1.3333333333333335,1.0,0.08,0.1
derandomized_seeqst,7,2,ghz,10,100,98.0,30,0.9668846365431306,1.6666666666666667,1.0,0.29,0.32
derandomized_seeqst,7,2,ghz,10,100,98.0,100,0.8746881530461957,1.2266666666666668,1.0,0.7,1.04
derandomized_seeqst,7,2,ghz,10,100,98.0,300,0.6829348380240133,0.9445620223398001,1.0,0.97,3.1
derandomized_seeqst,7,2,ghz,10,100,98.0,1000,0.32009850960802744,1.0038978139163897,1.0,1.0,10.37
derandomized_seeqst,7,2,ghz,10,100,98.0,3000,0.17406579274859427,1.003368649060788,0.6216216216216216,1.0,31.02
derandomized_seeqst,7,2,ghz,10,100,98.0,10000,0.10645639867013114,0.9985281395949961,0.38613861386138615,1.0,103.92
derandomized_seeqst,7,2,ghz,10,100,98.0,20000,0.06858124578366129,1.000214789321118,0.20192307692307693,1.0,207.62
derandomized_seeqst,7,2,ghz,10,100,98.0,30000,0.05662084251425245,1.0000716362134079,0.17525773195876287,1.0,312.01
derandomized_seeqst,7,2,ghz,10,100,98.0,40000,0.04868618244173653,1.0000859054384044,0.12649164677804295,1.0,416.17
derandomized_seeqst,7,2,ghz,10,100,98.0,50000,0.04735279168505274,0.9997212003252042,0.13575525812619502,1.0,520.21
