state_type,method,n_sample,rmse_mean,rmse_std,mean_variance_mean,mean_variance_std,max_error_mean,max_error_std,coverage_mean,mean_matches_per_observable_mean,num_state_repeats,num_observable_repeats
haar_random,derandomized_seeqst,3000,0.18147760633109505,0.013544477392058477,0.999674212926155,0.005391887771746998,0.5039728342268495,0.07914177831955033,1.0,31.3797,10,10
haar_random,derandomized_seeqst,10000,0.09837005440552092,0.007689057000681727,0.9991836937579832,0.0017235701629132892,0.2727647432766112,0.044377519518233655,1.0,104.55959999999999,10,10
haar_random,derandomized_seeqst,20000,0.06970122934679102,0.005052607003937551,0.9990876503558667,0.0008048275836360465,0.18935064062366386,0.028390496531741825,1.0,209.1111,10,10
haar_random,derandomized_seeqst,30000,0.05739928258877344,0.0042311238779844185,0.9990057058890384,0.000583195612218166,0.1597614319124978,0.024996643062042977,1.0,313.6333,10,10
haar_random,derandomized_seeqst,40000,0.04929974746869916,0.003945276225451823,0.9990121256027491,0.0004684130396759864,0.13587302203515025,0.022768997861474224,1.0,418.1908,10,10
haar_random,derandomized_seeqst,50000,0.04390497218425238,0.003432247510114303,0.9990424032799932,0.0004043708374498319,0.12205002490520701,0.018436156652483562,1.0,522.7286,10,10
haar_random,random_seeqst,10,9.329525964766988,11.506412362957272,2181.039755555556,2949.5981680929594,84.03131690821948,101.1888790003652,1.0,10.0,10,10
haar_random,random_seeqst,30,6.495410269856944,4.472098620750768,1888.402490574711,1645.4005368033936,49.187720027512384,30.770787223060196,1.0,30.0,10,10
haar_random,random_seeqst,100,4.169974912190401,1.27637196498052,1967.8078591919182,930.6229344471911,20.7174815684365,5.434274034105436,1.0,100.0,10,10
haar_random,random_seeqst,300,2.5929745163368314,0.3846837792303962,2086.0527571638695,536.381807722835,9.251643263425315,3.2542113393279495,1.0,300.0,10,10
haar_random,random_seeqst,1000,1.4282553809967058,0.12351463481924721,2090.058352467683,277.49639675891484,4.5087942540268235,1.0249283612141737,1.0,1000.0,10,10
haar_random,random_seeqst,3000,0.8346409190912816,0.06218296274735513,2062.046408145162,169.1811534839932,2.539915384375922,0.4520540707202545,1.0,3000.0,10,10
